UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,1/1/2023,1/2/2023,1/3/2023,1/4/2023,1/5/2023,1/6/2023,1/7/2023,1/8/2023,1/9/2023,1/10/2023,1/11/2023,1/12/2023,1/13/2023,1/14/2023,1/15/2023,1/16/2023,1/17/2023,1/18/2023,1/19/2023,1/20/2023,1/21/2023,1/22/2023,1/23/2023,1/24/2023,1/25/2023,1/26/2023,1/27/2023,1/28/2023,1/29/2023,1/30/2023,1/31/2023,2/1/2023,2/2/2023,2/3/2023,2/4/2023,2/5/2023,2/6/2023,2/7/2023,2/8/2023,2/9/2023,2/10/2023,2/11/2023,2/12/2023,2/13/2023
84001031,US,USA,840,1031,Coffee,Alabama,US,31.39932826,-85.98901039,"Coffee, Alabama, US",16328,16328,16328,16493,16493,16493,16493,16493,16493,16493,16593,16593,16593,16593,16593,16593,16593,16683,16683,16683,16683,16683,16683,16683,16774,16774,16774,16774,16774,16774,16774,16866,16866,16866,16866,16866,16866,16866,16954,16954,16954,16954,16954,16954
84001033,US,USA,840,1033,Colbert,Alabama,US,34.69847452,-87.80168544,"Colbert, Alabama, US",20165,20165,20165,20424,20424,20424,20424,20424,20424,20424,20556,20556,20556,20556,20556,20556,20556,20658,20658,20658,20658,20658,20658,20658,20738,20738,20738,20738,20738,20738,20738,20926,20926,20926,20926,20926,20926,20926,21011,21011,21011,21011,21011,21011
84001035,US,USA,840,1035,Conecuh,Alabama,US,31.43401703,-86.99320044,"Conecuh, Alabama, US",3410,3410,3410,3454,3454,3454,3454,3454,3454,3454,3469,3469,3469,3469,3469,3469,3469,3484,3484,3484,3484,3484,3484,3484,3538,3538,3538,3538,3538,3538,3538,3552,3552,3552,3552,3552,3552,3552,3561,3561,3561,3561,3561,3561
84001037,US,USA,840,1037,Coosa,Alabama,US,32.93690146,-86.24847739,"Coosa, Alabama, US",3643,3643,3643,3672,3672,3672,3672,3672,3672,3672,3690,3690,3690,3690,3690,3690,3690,3698,3698,3698,3698,3698,3698,3698,3713,3713,3713,3713,3713,3713,3713,3724,3724,3724,3724,3724,3724,3724,3735,3735,3735,3735,3735,3735
84001039,US,USA,840,1039,Covington,Alabama,US,31.2477854,-86.45050893,"Covington, Alabama, US",11250,11250,11250,11351,11351,11351,11351,11351,11351,11351,11427,11427,11427,11427,11427,11427,11427,11492,11492,11492,11492,11492,11492,11492,11560,11560,11560,11560,11560,11560,11560,11616,11616,11616,11616,11616,11616,11616,11684,11684,11684,11684,11684,11684
84001041,US,USA,840,1041,Crenshaw,Alabama,US,31.72941803,-86.31593104,"Crenshaw, Alabama, US",4516,4516,4516,4582,4582,4582,4582,4582,4582,4582,4621,4621,4621,4621,4621,4621,4621,4648,4648,4648,4648,4648,4648,4648,4673,4673,4673,4673,4673,4673,4673,4688,4688,4688,4688,4688,4688,4688,4704,4704,4704,4704,4704,4704
84001043,US,USA,840,1043,Cullman,Alabama,US,34.13020303,-86.86888037,"Cullman, Alabama, US",30119,30119,30119,30518,30518,30518,30518,30518,30518,30518,30740,30740,30740,30740,30740,30740,30740,30853,30853,30853,30853,30853,30853,30853,30982,30982,30982,30982,30982,30982,30982,31131,31131,31131,31131,31131,31131,31131,31249,31249,31249,31249,31249,31249
84001045,US,USA,840,1045,Dale,Alabama,US,31.43037123,-85.61095742,"Dale, Alabama, US",15789,15789,15789,15930,15930,15930,15930,15930,15930,15930,16021,16021,16021,16021,16021,16021,16021,16085,16085,16085,16085,16085,16085,16085,16164,16164,16164,16164,16164,16164,16164,16217,16217,16217,16217,16217,16217,16217,16305,16305,16305,16305,16305,16305
84001047,US,USA,840,1047,Dallas,Alabama,US,32.32688101,-87.1086671,"Dallas, Alabama, US",10357,10357,10357,10442,10442,10442,10442,10442,10442,10442,10501,10501,10501,10501,10501,10501,10501,10566,10566,10566,10566,10566,10566,10566,10756,10756,10756,10756,10756,10756,10756,10805,10805,10805,10805,10805,10805,10805,10850,10850,10850,10850,10850,10850
84001049,US,USA,840,1049,DeKalb,Alabama,US,34.45946862,-85.80782906,"DeKalb, Alabama, US",21738,21738,21738,21907,21907,21907,21907,21907,21907,21907,22000,22000,22000,22000,22000,22000,22000,22096,22096,22096,22096,22096,22096,22096,22183,22183,22183,22183,22183,22183,22183,22272,22272,22272,22272,22272,22272,22272,22354,22354,22354,22354,22354,22354
84001051,US,USA,840,1051,Elmore,Alabama,US,32.59785413,-86.14415284,"Elmore, Alabama, US",28545,28545,28545,28902,28902,28902,28902,28902,28902,28902,29073,29073,29073,29073,29073,29073,29073,29175,29175,29175,29175,29175,29175,29175,29363,29363,29363,29363,29363,29363,29363,29459,29459,29459,29459,29459,29459,29459,29611,29611,29611,29611,29611,29611
84001053,US,USA,840,1053,Escambia,Alabama,US,31.1256789,-87.15918694,"Escambia, Alabama, US",11863,11863,11863,11981,11981,11981,11981,11981,11981,11981,12048,12048,12048,12048,12048,12048,12048,12118,12118,12118,12118,12118,12118,12118,12229,12229,12229,12229,12229,12229,12229,12259,12259,12259,12259,12259,12259,12259,12280,12280,12280,12280,12280,12280
84001055,US,USA,840,1055,Etowah,Alabama,US,34.04567266,-86.04051873,"Etowah, Alabama, US",33129,33129,33129,33442,33442,33442,33442,33442,33442,33442,33576,33576,33576,33576,33576,33576,33576,33673,33673,33673,33673,33673,33673,33673,33757,33757,33757,33757,33757,33757,33757,33862,33862,33862,33862,33862,33862,33862,33959,33959,33959,33959,33959,33959
84001057,US,USA,840,1057,Fayette,Alabama,US,33.72076938,-87.73886638,"Fayette, Alabama, US",5694,5694,5694,5770,5770,5770,5770,5770,5770,5770,5788,5788,5788,5788,5788,5788,5788,5800,5800,5800,5800,5800,5800,5800,5817,5817,5817,5817,5817,5817,5817,5833,5833,5833,5833,5833,5833,5833,5849,5849,5849,5849,5849,5849
84001059,US,USA,840,1059,Franklin,Alabama,US,34.44235334,-87.84289505,"Franklin, Alabama, US",11566,11566,11566,11690,11690,11690,11690,11690,11690,11690,11771,11771,11771,11771,11771,11771,11771,11805,11805,11805,11805,11805,11805,11805,11855,11855,11855,11855,11855,11855,11855,11900,11900,11900,11900,11900,11900,11900,11944,11944,11944,11944,11944,11944
84001061,US,USA,840,1061,Geneva,Alabama,US,31.09389027,-85.83572839,"Geneva, Alabama, US",7591,7591,7591,7668,7668,7668,7668,7668,7668,7668,7700,7700,7700,7700,7700,7700,7700,7730,7730,7730,7730,7730,7730,7730,7777,7777,7777,7777,7777,7777,7777,7811,7811,7811,7811,7811,7811,7811,7847,7847,7847,7847,7847,7847
84001063,US,USA,840,1063,Greene,Alabama,US,32.85504247,-87.95684022,"Greene, Alabama, US",2194,2194,2194,2219,2219,2219,2219,2219,2219,2219,2230,2230,2230,2230,2230,2230,2230,2240,2240,2240,2240,2240,2240,2240,2253,2253,2253,2253,2253,2253,2253,2264,2264,2264,2264,2264,2264,2264,2281,2281,2281,2281,2281,2281
84001065,US,USA,840,1065,Hale,Alabama,US,32.76039258,-87.63284988,"Hale, Alabama, US",5523,5523,5523,5574,5574,5574,5574,5574,5574,5574,5597,5597,5597,5597,5597,5597,5597,5615,5615,5615,5615,5615,5615,5615,5631,5631,5631,5631,5631,5631,5631,5649,5649,5649,5649,5649,5649,5649,5676,5676,5676,5676,5676,5676
84001067,US,USA,840,1067,Henry,Alabama,US,31.51148016,-85.24267944,"Henry, Alabama, US",5574,5574,5574,5632,5632,5632,5632,5632,5632,5632,5664,5664,5664,5664,5664,5664,5664,5697,5697,5697,5697,5697,5697,5697,5737,5737,5737,5737,5737,5737,5737,5771,5771,5771,5771,5771,5771,5771,5795,5795,5795,5795,5795,5795
84001069,US,USA,840,1069,Houston,Alabama,US,31.15197924,-85.29939599,"Houston, Alabama, US",31004,31004,31004,31419,31419,31419,31419,31419,31419,31419,31605,31605,31605,31605,31605,31605,31605,31768,31768,31768,31768,31768,31768,31768,31933,31933,31933,31933,31933,31933,31933,32102,32102,32102,32102,32102,32102,32102,32263,32263,32263,32263,32263,32263
84001071,US,USA,840,1071,Jackson,Alabama,US,34.78144169,-85.99750489,"Jackson, Alabama, US",17525,17525,17525,17781,17781,17781,17781,17781,17781,17781,17886,17886,17886,17886,17886,17886,17886,17981,17981,17981,17981,17981,17981,17981,18059,18059,18059,18059,18059,18059,18059,18143,18143,18143,18143,18143,18143,18143,18209,18209,18209,18209,18209,18209
84001073,US,USA,840,1073,Jefferson,Alabama,US,33.55554728,-86.895063,"Jefferson, Alabama, US",225876,225876,225876,228500,228500,228500,228500,228500,228500,228500,229633,229633,229633,229633,229633,229633,229633,230578,230578,230578,230578,230578,230578,230578,231643,231643,231643,231643,231643,231643,231643,232873,232873,232873,232873,232873,232873,232873,235948,235948,235948,235948,235948,235948
84001075,US,USA,840,1075,Lamar,Alabama,US,33.77995024,-88.09668032,"Lamar, Alabama, US",4572,4572,4572,4610,4610,4610,4610,4610,4610,4610,4626,4626,4626,4626,4626,4626,4626,4635,4635,4635,4635,4635,4635,4635,4661,4661,4661,4661,4661,4661,4661,4675,4675,4675,4675,4675,4675,4675,4689,4689,4689,4689,4689,4689
84001077,US,USA,840,1077,Lauderdale,Alabama,US,34.90171875,-87.65624729,"Lauderdale, Alabama, US",29121,29121,29121,29456,29456,29456,29456,29456,29456,29456,29636,29636,29636,29636,29636,29636,29636,29801,29801,29801,29801,29801,29801,29801,29954,29954,29954,29954,29954,29954,29954,30057,30057,30057,30057,30057,30057,30057,30136,30136,30136,30136,30136,30136
84001079,US,USA,840,1079,Lawrence,Alabama,US,34.52041498,-87.31069453,"Lawrence, Alabama, US",9102,9102,9102,9174,9174,9174,9174,9174,9174,9174,9210,9210,9210,9210,9210,9210,9210,9243,9243,9243,9243,9243,9243,9243,9289,9289,9289,9289,9289,9289,9289,9323,9323,9323,9323,9323,9323,9323,9340,9340,9340,9340,9340,9340
84001081,US,USA,840,1081,Lee,Alabama,US,32.60154883,-85.35132246,"Lee, Alabama, US",45351,45351,45351,46003,46003,46003,46003,46003,46003,46003,46236,46236,46236,46236,46236,46236,46236,46420,46420,46420,46420,46420,46420,46420,46651,46651,46651,46651,46651,46651,46651,46938,46938,46938,46938,46938,46938,46938,47170,47170,47170,47170,47170,47170
84001083,US,USA,840,1083,Limestone,Alabama,US,34.81185586,-86.98310072,"Limestone, Alabama, US",30685,30685,30685,31001,31001,31001,31001,31001,31001,31001,31177,31177,31177,31177,31177,31177,31177,31327,31327,31327,31327,31327,31327,31327,31507,31507,31507,31507,31507,31507,31507,31665,31665,31665,31665,31665,31665,31665,31805,31805,31805,31805,31805,31805
84001085,US,USA,840,1085,Lowndes,Alabama,US,32.1597283,-86.65158371,"Lowndes, Alabama, US",3148,3148,3148,3213,3213,3213,3213,3213,3213,3213,3241,3241,3241,3241,3241,3241,3241,3251,3251,3251,3251,3251,3251,3251,3278,3278,3278,3278,3278,3278,3278,3303,3303,3303,3303,3303,3303,3303,3335,3335,3335,3335,3335,3335
84001087,US,USA,840,1087,Macon,Alabama,US,32.38759944,-85.69267724,"Macon, Alabama, US",4941,4941,4941,5000,5000,5000,5000,5000,5000,5000,5053,5053,5053,5053,5053,5053,5053,5094,5094,5094,5094,5094,5094,5094,5142,5142,5142,5142,5142,5142,5142,5173,5173,5173,5173,5173,5173,5173,5205,5205,5205,5205,5205,5205
84001089,US,USA,840,1089,Madison,Alabama,US,34.76327133,-86.55069633,"Madison, Alabama, US",111206,111206,111206,112479,112479,112479,112479,112479,112479,112479,113105,113105,113105,113105,113105,113105,113105,113510,113510,113510,113510,113510,113510,113510,113923,113923,113923,113923,113923,113923,113923,114381,114381,114381,114381,114381,114381,114381,114819,114819,114819,114819,114819,114819
84001091,US,USA,840,1091,Marengo,Alabama,US,32.24767634,-87.78796182,"Marengo, Alabama, US",5895,5895,5895,5936,5936,5936,5936,5936,5936,5936,5982,5982,5982,5982,5982,5982,5982,5992,5992,5992,5992,5992,5992,5992,6012,6012,6012,6012,6012,6012,6012,6030,6030,6030,6030,6030,6030,6030,6052,6052,6052,6052,6052,6052
84001093,US,USA,840,1093,Marion,Alabama,US,34.13697363,-87.88704173,"Marion, Alabama, US",9689,9689,9689,9820,9820,9820,9820,9820,9820,9820,9864,9864,9864,9864,9864,9864,9864,9904,9904,9904,9904,9904,9904,9904,9936,9936,9936,9936,9936,9936,9936,9976,9976,9976,9976,9976,9976,9976,10021,10021,10021,10021,10021,10021
84001095,US,USA,840,1095,Marshall,Alabama,US,34.36975964,-86.30486727,"Marshall, Alabama, US",31626,31626,31626,31971,31971,31971,31971,31971,31971,31971,32126,32126,32126,32126,32126,32126,32126,32306,32306,32306,32306,32306,32306,32306,32460,32460,32460,32460,32460,32460,32460,32569,32569,32569,32569,32569,32569,32569,32673,32673,32673,32673,32673,32673
84001097,US,USA,840,1097,Mobile,Alabama,US,30.78472347,-88.20842409,"Mobile, Alabama, US",130646,130646,130646,131848,131848,131848,131848,131848,131848,131848,132438,132438,132438,132438,132438,132438,132438,132815,132815,132815,132815,132815,132815,132815,133249,133249,133249,133249,133249,133249,133249,133627,133627,133627,133627,133627,133627,133627,133960,133960,133960,133960,133960,133960
84001099,US,USA,840,1099,Monroe,Alabama,US,31.56729412,-87.36995001,"Monroe, Alabama, US",6355,6355,6355,6451,6451,6451,6451,6451,6451,6451,6482,6482,6482,6482,6482,6482,6482,6524,6524,6524,6524,6524,6524,6524,6578,6578,6578,6578,6578,6578,6578,6621,6621,6621,6621,6621,6621,6621,6674,6674,6674,6674,6674,6674
84001101,US,USA,840,1101,Montgomery,Alabama,US,32.2206831,-86.20969272,"Montgomery, Alabama, US",69442,69442,69442,70564,70564,70564,70564,70564,70564,70564,71102,71102,71102,71102,71102,71102,71102,71485,71485,71485,71485,71485,71485,71485,71949,71949,71949,71949,71949,71949,71949,72364,72364,72364,72364,72364,72364,72364,72809,72809,72809,72809,72809,72809
84001103,US,USA,840,1103,Morgan,Alabama,US,34.45500589,-86.85475946,"Morgan, Alabama, US",44434,44434,44434,45020,45020,45020,45020,45020,45020,45020,45247,45247,45247,45247,45247,45247,45247,45443,45443,45443,45443,45443,45443,45443,45674,45674,45674,45674,45674,45674,45674,45862,45862,45862,45862,45862,45862,45862,46029,46029,46029,46029,46029,46029
84080001,US,USA,840,80001,Out of AL,Alabama,US,0,0,"Out of AL, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84001105,US,USA,840,1105,Perry,Alabama,US,32.64048341,-87.29770589,"Perry, Alabama, US",2563,2563,2563,2586,2586,2586,2586,2586,2586,2586,2599,2599,2599,2599,2599,2599,2599,2612,2612,2612,2612,2612,2612,2612,2624,2624,2624,2624,2624,2624,2624,2631,2631,2631,2631,2631,2631,2631,2648,2648,2648,2648,2648,2648
84001107,US,USA,840,1107,Pickens,Alabama,US,33.28094866,-88.08818103,"Pickens, Alabama, US",6122,6122,6122,6163,6163,6163,6163,6163,6163,6163,6185,6185,6185,6185,6185,6185,6185,6210,6210,6210,6210,6210,6210,6210,6227,6227,6227,6227,6227,6227,6227,6247,6247,6247,6247,6247,6247,6247,6272,6272,6272,6272,6272,6272
84001109,US,USA,840,1109,Pike,Alabama,US,31.80396383,-85.9408295,"Pike, Alabama, US",8902,8902,8902,9001,9001,9001,9001,9001,9001,9001,9054,9054,9054,9054,9054,9054,9054,9082,9082,9082,9082,9082,9082,9082,9116,9116,9116,9116,9116,9116,9116,9150,9150,9150,9150,9150,9150,9150,9183,9183,9183,9183,9183,9183
84001111,US,USA,840,1111,Randolph,Alabama,US,33.29526734,-85.45708831,"Randolph, Alabama, US",6161,6161,6161,6258,6258,6258,6258,6258,6258,6258,6305,6305,6305,6305,6305,6305,6305,6339,6339,6339,6339,6339,6339,6339,6387,6387,6387,6387,6387,6387,6387,6414,6414,6414,6414,6414,6414,6414,6447,6447,6447,6447,6447,6447
84001113,US,USA,840,1113,Russell,Alabama,US,32.28725256,-85.18415324,"Russell, Alabama, US",12377,12377,12377,12586,12586,12586,12586,12586,12586,12586,12668,12668,12668,12668,12668,12668,12668,12728,12728,12728,12728,12728,12728,12728,12780,12780,12780,12780,12780,12780,12780,12846,12846,12846,12846,12846,12846,12846,12905,12905,12905,12905,12905,12905
84001117,US,USA,840,1117,Shelby,Alabama,US,33.26879845,-86.66232561,"Shelby, Alabama, US",73695,73695,73695,74577,74577,74577,74577,74577,74577,74577,74965,74965,74965,74965,74965,74965,74965,75240,75240,75240,75240,75240,75240,75240,75569,75569,75569,75569,75569,75569,75569,76093,76093,76093,76093,76093,76093,76093,77322,77322,77322,77322,77322,77322
84001115,US,USA,840,1115,St. Clair,Alabama,US,33.71902176,-86.31029372,"St. Clair, Alabama, US",31345,31345,31345,31799,31799,31799,31799,31799,31799,31799,32030,32030,32030,32030,32030,32030,32030,32162,32162,32162,32162,32162,32162,32162,32362,32362,32362,32362,32362,32362,32362,32542,32542,32542,32542,32542,32542,32542,32881,32881,32881,32881,32881,32881
84001119,US,USA,840,1119,Sumter,Alabama,US,32.59117397,-88.19916205,"Sumter, Alabama, US",3024,3024,3024,3035,3035,3035,3035,3035,3035,3035,3052,3052,3052,3052,3052,3052,3052,3083,3083,3083,3083,3083,3083,3083,3104,3104,3104,3104,3104,3104,3104,3120,3120,3120,3120,3120,3120,3120,3132,3132,3132,3132,3132,3132
84001121,US,USA,840,1121,Talladega,Alabama,US,33.37823223,-86.16886178,"Talladega, Alabama, US",27380,27380,27380,27615,27615,27615,27615,27615,27615,27615,27782,27782,27782,27782,27782,27782,27782,27907,27907,27907,27907,27907,27907,27907,28016,28016,28016,28016,28016,28016,28016,28119,28119,28119,28119,28119,28119,28119,28273,28273,28273,28273,28273,28273
84001123,US,USA,840,1123,Tallapoosa,Alabama,US,32.86698258,-85.79833053,"Tallapoosa, Alabama, US",13948,13948,13948,14166,14166,14166,14166,14166,14166,14166,14241,14241,14241,14241,14241,14241,14241,14327,14327,14327,14327,14327,14327,14327,14403,14403,14403,14403,14403,14403,14403,14449,14449,14449,14449,14449,14449,14449,14482,14482,14482,14482,14482,14482
84001125,US,USA,840,1125,Tuscaloosa,Alabama,US,33.28726072,-87.52556818,"Tuscaloosa, Alabama, US",67772,67772,67772,68478,68478,68478,68478,68478,68478,68478,68860,68860,68860,68860,68860,68860,68860,69174,69174,69174,69174,69174,69174,69174,69498,69498,69498,69498,69498,69498,69498,69832,69832,69832,69832,69832,69832,69832,70200,70200,70200,70200,70200,70200
84090001,US,USA,840,90001,Unassigned,Alabama,US,0,0,"Unassigned, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84001127,US,USA,840,1127,Walker,Alabama,US,33.80270512,-87.30027177,"Walker, Alabama, US",22885,22885,22885,23276,23276,23276,23276,23276,23276,23276,23425,23425,23425,23425,23425,23425,23425,23529,23529,23529,23529,23529,23529,23529,23697,23697,23697,23697,23697,23697,23697,23777,23777,23777,23777,23777,23777,23777,23881,23881,23881,23881,23881,23881
84001129,US,USA,840,1129,Washington,Alabama,US,31.4092794,-88.20689944,"Washington, Alabama, US",4252,4252,4252,4286,4286,4286,4286,4286,4286,4286,4309,4309,4309,4309,4309,4309,4309,4323,4323,4323,4323,4323,4323,4323,4333,4333,4333,4333,4333,4333,4333,4357,4357,4357,4357,4357,4357,4357,4375,4375,4375,4375,4375,4375
84001131,US,USA,840,1131,Wilcox,Alabama,US,31.98773215,-87.30891118,"Wilcox, Alabama, US",3516,3516,3516,3554,3554,3554,3554,3554,3554,3554,3569,3569,3569,3569,3569,3569,3569,3575,3575,3575,3575,3575,3575,3575,3588,3588,3588,3588,3588,3588,3588,3601,3601,3601,3601,3601,3601,3601,3621,3621,3621,3621,3621,3621
84001133,US,USA,840,1133,Winston,Alabama,US,34.15030532,-87.37325922,"Winston, Alabama, US",9030,9030,9030,9106,9106,9106,9106,9106,9106,9106,9200,9200,9200,9200,9200,9200,9200,9265,9265,9265,9265,9265,9265,9265,9300,9300,9300,9300,9300,9300,9300,9336,9336,9336,9336,9336,9336,9336,9358,9358,9358,9358,9358,9358
84002013,US,USA,840,2013,Aleutians East,Alaska,US,55.32222414,-161.9722021,"Aleutians East, Alaska, US",1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1328,1328,1328,1328,1328,1328,1328
84002016,US,USA,840,2016,Aleutians West,Alaska,US,52.3233,-174.1596,"Aleutians West, Alaska, US",1897,1897,1898,1898,1898,1898,1898,1898,1898,1901,1901,1901,1901,1901,1901,1901,1907,1907,1907,1907,1907,1907,1907,1921,1921,1921,1921,1921,1921,1921,1954,1954,1954,1954,1954,1954,1954,1977,1977,1977,1977,1977,1977,1977
84002020,US,USA,840,2020,Anchorage,Alaska,US,61.14998174,-149.1426986,"Anchorage, Alaska, US",122244,122244,122417,122417,122417,122417,122417,122417,122417,122603,122603,122603,122603,122603,122603,122603,122828,122828,122828,122828,122828,122828,122828,123019,123019,123019,123019,123019,123019,123019,123244,123244,123244,123244,123244,123244,123244,123459,123459,123459,123459,123459,123459,123459
